Tm/s,Flow ,Velocity,S,Status
101.5,29.462,2.2088,"844,844",No Leaking
101.5,29.516,2.2144,"844,844",No Leaking
101.5,29.246,2.2002,"844,844",No Leaking
101.5,29.242,2.2045,"844,844",No Leaking
101.5,29.307,2.2049,"844,844",No Leaking
101.5,29.224,2.205,"844,844",No Leaking
101.5,29.16,2.2106,"844,844",No Leaking
101.5,29.138,2.2007,"844,844",No Leaking
101.5,29.032,2.1955,"844,844",No Leaking
101.5,28.887,2.2035,"844,844",No Leaking
101.5,29.091,2.1953,"844,844",No Leaking
101.5,29.134,2.1979,"844,844",No Leaking
101.5,28.992,2.1874,"844,844",No Leaking
101.3,29.097,2.1803,"844,844",No Leaking
101.3,29.03,2.1741,"844,844",No Leaking
101.3,29.028,2.1679,"844,844",No Leaking
101.3,29.005,2.1656,"844,844",No Leaking
101.3,28.983,2.1775,"844,844",No Leaking
101.3,28.917,2.1636,"844,844",No Leaking
101.3,28.873,2.165,"844,844",No Leaking
101.3,28.758,2.1393,"844,844",No Leaking
101.3,28.654,2.1366,"844,844",No Leaking
101.3,28.643,2.2977,"844,844",No Leaking
101.3,29.599,2.3295,"844,844",No Leaking
101.3,29.639,2.3288,"844,844",No Leaking
101.3,29.566,2.3307,"844,844",No Leaking
101.3,26.556,1.9717,"844,844",Leaking
101.3,26.562,1.9641,"844,844",Leaking
101.3,26.658,1.9668,"844,844",Leaking
101.3,25.893,1.9653,"844,844",Leaking
101.3,24.805,1.9732,"844,844",Leaking
101.3,26.325,1.9248,"844,844",Leaking
101.3,26.951,1.875,"844,844",Leaking
101.3,26.109,1.983,"844,844",Leaking
101.3,26.154,1.9905,"844,844",Leaking
101.3,26.219,1.9868,"844,844",Leaking
101.3,26.156,1.9928,"844,844",Leaking
101.3,26.169,1.9915,"844,844",Leaking
101.3,26.196,1.9838,"844,844",Leaking
101.3,26.208,1.9778,"844,844",Leaking
101.3,26.171,1.9744,"844,844",Leaking
101.3,26.036,1.9641,"844,844",Leaking
101.3,26.218,1.9557,"844,844",Leaking
101.3,26.171,1.9439,"844,844",Leaking
101.3,26.117,1.9506,"844,844",Leaking
101.5,25.929,1.955,"844,844",Leaking
101.5,25.834,1.9678,"844,844",Leaking
101.5,25.924,1.9554,"844,844",Leaking
101.5,25.908,1.9778,"844,844",Leaking
101.5,25.778,1.9744,"844,844",Leaking
101.5,25.776,1.9745,"844,844",Leaking
101.5,25.56,1.9736,"844,844",Leaking
101.5,26.506,1.9721,"844,844",Leaking
101.5,26.533,1.9641,"844,844",Leaking
101.5,26.418,1.9868,"844,844",Leaking
101.5,26.353,1.9928,"844,844",Leaking
101.5,26.37,1.9744,"844,844",Leaking
101.5,26.46,0.099,"844,844",Leaking
101.5,26.578,0.1156,"844,844",Leaking
101.5,26.427,0.07,"844,844",Leaking
101.5,26.422,0.049,"844,844",Leaking
101.5,26.357,0.0786,"844,844",Leaking
101.5,26.242,0.0993,"844,844",Leaking
101.5,26.289,0.0629,"844,844",Leaking
101.5,26.287,0.0663,"844,844",Leaking
101.5,26.271,0.0957,"844,844",Leaking
101.5,26.355,0.0661,"844,844",Leaking
101.5,26.29,0.0972,"844,844",Leaking
101.5,26.2,0.0688,"844,844",Leaking
101.5,26.355,0.0899,"844,844",Leaking
101.5,26.254,0.083,"844,844",Leaking
101.5,26.218,0.0711,"844,844",Leaking
101.5,26.312,0.0766,"844,844",Leaking
101.5,26.208,0.0885,"844,844",Leaking
101.5,26.276,0.0789,"844,844",Leaking
101.5,26.281,0.0725,"844,844",Leaking
101.5,26.317,0.0786,"844,844",Leaking
101.5,26.2,0.0821,"844,844",Leaking
101.5,26.179,0.0764,"844,844",Leaking
101.5,26.263,0.0819,"844,844",Leaking
101.5,26.136,0.0838,"844,844",Leaking
101.5,26.112,0.0775,"844,844",Leaking
101.5,26.127,0.084,"844,844",Leaking
101.5,26.038,0.0857,"844,844",Leaking
101.5,26.073,0.0767,"844,844",Leaking
101.5,25.97,0.0814,"844,844",Leaking
101.5,25.934,0.0813,"844,844",Leaking
101.5,25.844,0.0812,"844,844",Leaking
101.5,26.104,0.0779,"844,844",Leaking
101.5,26.462,0.0807,"844,844",Leaking
101.5,26.698,0.0818,"844,844",Leaking
101.5,26.147,0.0781,"844,844",Leaking
101.5,28.806,0.0735,"844,844",Leaking
101.5,26.768,0.0751,"844,844",Leaking
101.5,26.364,0.0749,"844,844",Leaking
101.5,26.238,0.0737,"844,844",Leaking
101.3,29.732,2.3237,"844,844",No Leaking
101.3,29.845,2.3184,"844,844",No Leaking
101.3,29.869,2.3165,"844,844",No Leaking
101.3,29.876,2.3361,"844,844",No Leaking
101.3,29.714,2.342,"844,844",No Leaking
101.3,29.7255,2.3356,"844,844",No Leaking
101.3,29.655,2.1727,"844,844",No Leaking
101.3,29.698,2.1144,"844,844",No Leaking
101.3,29.683,2.1132,"844,844",No Leaking
101.3,29.529,2.1144,"844,844",No Leaking
101.3,29.471,2.0046,"844,844",No Leaking
101,29.41,2.0096,"844,844",No Leaking
101,29.34,2.0064,"844,844",No Leaking
101,29.269,2.0077,"844,844",No Leaking
101,29.262,2.9965,"844,844",No Leaking
101,29.404,2.0042,"844,844",No Leaking
101,29.233,2.0023,"844,844",No Leaking
101,29.109,2.0153,"844,844",No Leaking
101,28.823,2.0942,"844,844",No Leaking
101,31.404,2.0724,"844,844",No Leaking
101,31.53,2.1768,"844,844",No Leaking
101,31.482,2.2553,"844,844",No Leaking
101,31.32,2.1191,"844,844",No Leaking
101,31.192,2.0584,"844,844",No Leaking
99.98,31.318,2.1544,"844,844",No Leaking
99.98,31.584,2.1043,"844,844",No Leaking
101.5,28.508,0.0744,"844,844",Leaking
101.5,26.121,0.0748,"844,844",Leaking
101.5,26.104,0.0722,"844,844",Leaking
101.5,26.158,0.0751,"844,844",Leaking
101.5,26.453,0.0758,"844,844",Leaking
101.5,26.201,0.0732,"844,844",Leaking
101.5,26.903,0.073,"844,844",Leaking
101.5,26.814,0.0736,"844,844",Leaking
101.5,26.047,0.0754,"844,844",Leaking
101.5,26.778,0.0728,"844,844",Leaking
101.5,26.904,0.0748,"844,844",Leaking
101.5,26.562,0.0722,"844,844",Leaking
101.5,26.225,0.0751,"844,844",Leaking
101.5,26.184,0.0758,"844,844",Leaking
101.5,26.885,0.0732,"844,844",Leaking
101.5,26.516,0.073,"844,844",Leaking
101.5,26.994,0.0736,"844,844",Leaking
101.5,26.425,0.0754,"844,844",Leaking
101.5,26.739,0.0728,"844,844",Leaking
101.5,26.868,0.0745,"844,844",Leaking
101.5,26.814,0.0738,"844,844",Leaking
101.5,26.246,0.073,"844,844",Leaking
101.5,26.958,0.0729,"844,844",Leaking
101.5,26.954,0.0742,"844,844",Leaking
101.5,26.961,0.0724,"844,844",Leaking
101.5,26.798,0.0726,"844,844",Leaking
101.5,26.956,0.0741,"844,844",Leaking
101.5,26.516,0.0728,"844,844",Leaking
101.5,26.551,0.0726,"844,844",Leaking
101.5,26.868,0.0736,"844,844",Leaking
101.5,26.246,0.0712,"844,844",Leaking
101.5,26.478,0.0723,"844,844",Leaking
101.5,26.939,0.5008,"844,844",Leaking
101.5,26.047,0.5019,"844,844",Leaking
101.5,26.796,0.4997,"844,844",Leaking
101.5,26.885,0.5017,"844,844",Leaking
101.5,26.768,0.5081,"844,844",Leaking
101.5,26.957,0.504,"844,844",Leaking
101.5,26.922,0.5028,"844,844",Leaking
101.5,26.696,0.5092,"844,844",Leaking
101.5,26.894,0.5037,"844,844",Leaking
101.5,26.532,0.4972,"844,844",Leaking
101.5,26.408,0.4965,"844,844",Leaking
101.5,26.796,0.5071,"844,844",Leaking
101.5,26.778,0.505,"844,844",Leaking
101.5,26.264,0.5047,"844,844",Leaking
101.5,26.354,0.5092,"844,844",Leaking
101.5,26.731,0.5112,"844,844",Leaking
101.5,25.975,0.5106,"844,844",Leaking
101.5,26.047,0.5091,"844,844",Leaking
101.5,25.947,0.5095,"844,844",Leaking
101.5,25.994,0.5074,"844,844",Leaking
101.5,26.047,0.5102,"844,844",Leaking
101.5,26.903,0.5001,"844,844",Leaking
101.5,26.354,0.5043,"844,844",Leaking
101.5,26.817,0.5116,"844,844",Leaking
101.5,26.106,0.5121,"844,844",Leaking
101.5,26.708,0.5109,"844,844",Leaking
101.5,26.591,0.511,"844,844",Leaking
101.5,26.285,0.5142,"844,844",Leaking
101.5,26.232,0.5133,"844,844",Leaking
101.5,26.597,1.6409,"844,844",Leaking
101.5,26.411,1.6377,"844,844",Leaking
99.8,26.044,1.6298,"844,844",Leaking
99.8,26.028,0.51,"844,844",Leaking
99.8,26.335,0.5098,"844,844",Leaking
99.8,26.371,0.513,"844,844",Leaking
99.8,26.341,0.515,"844,844",Leaking
99.8,26.303,0.5094,"844,844",Leaking
99.8,26.181,0.55145,"844,844",Leaking
99.8,26.226,0.5124,"844,844",Leaking
99.8,26.246,0.5129,"844,844",Leaking
99.8,23.328,0.511,"844,844",Leaking
99.8,26.244,0.5087,"844,844",Leaking
99.8,26.188,0.5082,"844,844",Leaking
99.8,26.163,0.5193,"844,844",Leaking
99.8,26.101,0.5141,"844,844",Leaking
99.8,26.195,0.5097,"844,844",Leaking
99.8,26.195,0.5178,"844,844",Leaking
99.8,26.264,0.5104,"844,844",Leaking
99.8,22.018,0.5116,"844,844",Leaking
99.8,21.933,0.5158,"844,844",Leaking
99.8,21.918,0.5078,"844,844",Leaking
99.8,22.098,0.509,"844,844",Leaking
99.8,22.005,0.5125,"844,844",Leaking
99.8,22.05,0.5165,"844,844",Leaking
99.8,22.032,0.5167,"844,844",Leaking
99.8,21.095,0.5142,"844,844",Leaking
99.8,22.109,0.5118,"844,844",Leaking
99.8,22.127,0.51,"844,844",Leaking
99.8,22.123,0.5074,"844,844",Leaking
99.8,22.006,0.5105,"844,844",Leaking
99.8,22.023,0.5135,"844,844",Leaking
99.8,22.087,0.5157,"844,844",Leaking
99.8,22.041,0.5147,"844,844",Leaking
99.8,22.01,0.546,"844,844",Leaking
101.4,22.177,0.5468,"844,844",Leaking
101.4,22.104,0.5531,"844,844",Leaking
101.4,22.102,0.5517,"844,844",Leaking
101.4,22.037,0.5545,"844,844",Leaking
101.4,22.152,0.5487,"844,844",Leaking
101.4,22.168,0.5465,"844,844",Leaking
101.4,22.084,0.5503,"844,844",Leaking
101.4,22.039,0.5477,"844,844",Leaking
101.4,22.177,0.552,"844,844",Leaking
101.4,22.104,0.5397,"844,844",Leaking
101.4,22.102,0.5183,"844,844",Leaking
101.4,22.037,1.6319,"844,844",Leaking
99.98,31.658,2.1265,"844,844",No Leaking
99.98,31.561,2.0429,"844,844",No Leaking
99.98,31.294,2.0216,"844,844",No Leaking
99.98,28.965,2.0018,"844,844",No Leaking
99.98,28.566,2.0074,"844,844",No Leaking
99.98,28.456,2.0098,"844,844",No Leaking
99.98,28.146,2.0153,"844,844",No Leaking
99.98,28.008,2.0117,"844,844",No Leaking
99.98,27.124,2.0115,"844,844",No Leaking
99.98,27.118,2.0155,"844,844",No Leaking
99.98,27.144,2.0019,"844,844",No Leaking
99.98,27.118,2.0043,"844,844",No Leaking
99.98,27.009,2.0123,"844,844",No Leaking
99.98,27.055,2.0073,"844,844",No Leaking
99.98,27.096,2.0112,"844,844",No Leaking
99.98,27.046,2.0081,"844,844",No Leaking
99.98,27.073,2.0001,"844,844",No Leaking
99.98,27.009,2.1636,"844,844",No Leaking
99.98,27.091,2.1668,"844,844",No Leaking
101.5,27.239,2.1635,"844,844",No Leaking
101.5,27.217,2.1648,"844,844",No Leaking
101.5,28.008,2.1714,"844,844",No Leaking
101.5,28.211,2.1629,"844,844",No Leaking
101.5,30.061,2.1593,"844,844",No Leaking
101.5,30.466,2.1595,"844,844",No Leaking
101.5,29.278,2.1484,"844,844",No Leaking
101.5,28.008,2.1422,"844,844",No Leaking
101.5,27.97,2.1436,"844,844",No Leaking
101.5,29.102,2.1521,"844,844",No Leaking
101.5,29.104,2.1584,"844,844",No Leaking
101.5,29.102,2.1464,"844,844",No Leaking
101.5,29.104,2.1497,"844,844",No Leaking
101.5,29.102,2.1597,"844,844",No Leaking
101.5,29.104,2.1486,"844,844",No Leaking
101.5,27.0011,2.1513,"844,844",No Leaking
101.5,28.416,2.1465,"844,844",No Leaking
101.6,28.728,2.1427,"844,844",No Leaking
101.6,28.726,2.1395,"844,844",No Leaking
101.6,28.726,2.1369,"844,844",No Leaking
101.6,27.544,2.1348,"844,844",No Leaking
101.6,27.127,2.1211,"844,844",No Leaking
101.6,27.131,2.1198,"844,844",No Leaking
101.6,27.246,2.1092,"844,844",No Leaking
101.6,27.345,2.0074,"844,844",No Leaking
101.6,27.634,2.0098,"844,844",No Leaking
101.6,27.781,2.0153,"844,844",No Leaking
101.6,27.109,2.0117,"844,844",No Leaking
